Date,Sentiment
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2020-01-01,neutral
2025-04-15,positive
2025-04-03,neutral
2025-03-01,neutral
2025-03-24,negative
2025-03-19,positive
2025-03-17,positive
2025-03-24,negative
2025-04-23,neutral
2025-03-21,neutral
2025-03-04,neutral
2025-03-19,negative
2025-04-17,negative
2025-04-14,positive
2025-03-15,positive
2025-03-18,negative
2025-04-10,negative
2025-03-10,neutral
2025-04-23,negative
2025-04-25,neutral
2025-04-17,neutral
2025-03-24,neutral
2025-03-16,negative
2025-04-24,neutral
2025-04-11,neutral
2025-04-05,positive
2025-03-26,neutral
2025-04-02,negative
2025-02-27,neutral
2025-03-01,neutral
2025-03-10,neutral
2025-04-16,neutral
2025-03-14,neutral
2025-03-31,positive
2025-02-25,negative
2025-04-03,negative
2025-04-23,positive
2025-03-02,neutral
2025-03-13,positive
2025-03-11,neutral
2025-03-12,negative
2025-03-08,negative
2025-04-09,neutral
2025-04-05,neutral
2025-04-13,negative
2025-04-20,positive
2025-03-02,positive
2025-03-30,negative
2025-02-25,neutral
2025-03-19,positive
2025-02-25,neutral
2025-03-14,neutral
2025-04-10,negative
2025-04-01,neutral
2025-04-19,neutral
2025-04-13,positive
2025-04-14,positive
2025-04-04,positive
2025-04-18,negative
2025-04-01,positive
2025-03-06,negative
2025-03-18,neutral
2025-02-24,neutral
2025-03-03,negative
2025-04-05,neutral
2025-04-19,negative
2025-03-10,neutral
2025-04-14,neutral
2025-03-05,neutral
2025-03-24,neutral
2025-04-22,positive
2025-04-12,negative
2025-04-19,neutral
2025-02-27,negative
2025-04-10,neutral
2025-04-13,neutral
2025-03-05,neutral
2025-04-22,neutral
2025-04-20,neutral
2025-03-24,neutral
2025-04-25,positive
2025-03-28,positive
2025-04-11,neutral
2025-04-16,negative
2025-04-12,positive
2025-04-24,negative
2025-04-25,negative
2025-03-15,neutral
2025-04-12,positive
2025-04-01,positive
2025-03-13,positive
2025-04-05,positive
2025-03-04,positive
2025-04-15,negative
2025-04-25,positive
2025-04-11,positive
2025-03-06,positive
2025-04-14,neutral
2025-04-01,neutral
2025-04-02,neutral
2025-04-17,neutral
2025-04-03,negative
2025-03-12,negative
2025-03-08,neutral
2025-04-09,positive
2025-03-10,neutral
2025-02-26,neutral
2025-04-21,neutral
2025-04-13,neutral
2025-03-15,negative
2025-04-02,negative
2025-04-07,positive
2025-04-18,neutral
2025-03-29,negative
2025-03-21,negative
2025-03-11,neutral
2025-03-01,positive
2025-03-07,neutral
2025-03-24,negative
2025-03-22,neutral
2025-03-04,neutral
2025-04-21,neutral
2025-03-06,positive
2025-02-27,neutral
2025-03-17,positive
2025-04-25,positive
2025-04-21,negative
2025-04-02,neutral
2025-03-29,positive
2025-03-03,neutral
2025-04-11,neutral
2025-03-06,neutral
2025-03-02,negative
2025-03-28,neutral
2025-03-03,positive
2025-03-04,negative
2025-04-12,neutral
2025-04-16,positive
2025-03-27,positive
2025-04-09,neutral
2025-04-14,negative
2025-03-17,positive
2025-03-22,positive
2025-04-17,positive
2025-04-14,neutral
2025-04-02,neutral
2025-03-30,neutral
2025-02-26,neutral
2025-03-29,neutral
2025-02-26,neutral
2025-03-21,positive
2025-03-30,positive
2025-03-09,neutral
2025-03-25,neutral
2025-03-31,positive
2025-02-28,neutral
2025-03-28,negative
2025-03-27,negative
2025-03-03,negative
2025-02-28,negative
2025-03-26,negative
2025-03-27,neutral
2025-03-24,neutral
2025-03-21,neutral
2025-04-14,neutral
2025-02-24,neutral
2025-03-31,negative
2025-03-20,neutral
2025-03-12,neutral
2025-03-25,neutral
2025-03-12,negative
2025-03-31,neutral
2025-04-11,positive
2025-03-27,neutral
2025-04-24,negative
2025-04-02,negative
2025-03-20,neutral
2025-04-22,positive
2025-03-05,neutral
2025-04-16,positive
2025-03-11,neutral
2025-04-23,neutral
2025-03-25,neutral
2025-03-19,neutral
2025-04-20,negative
2025-03-22,neutral
2025-03-13,neutral
2025-04-25,neutral
2025-04-15,positive
2025-03-16,neutral
2025-04-13,positive
2025-04-02,neutral
2025-04-03,neutral
2025-04-24,neutral
2025-04-04,positive
2025-03-11,positive
2025-04-11,positive
2025-03-22,negative
2025-03-29,neutral
2025-04-14,negative
2025-04-06,positive
2025-03-25,neutral
2025-03-06,negative
2025-04-13,neutral
2025-04-10,positive
2025-03-10,positive
2025-02-27,positive
2025-02-26,neutral
2025-03-30,negative
2025-03-30,neutral
2025-02-24,negative
2025-03-08,positive
2025-04-13,negative
2025-04-22,neutral
2025-03-12,neutral
2025-03-17,positive
2025-03-13,neutral
2025-02-24,neutral
2025-03-11,neutral
2025-04-13,positive
2025-03-10,positive
2025-04-03,positive
2025-03-24,negative
2025-03-07,negative
2025-04-16,positive
